Unnamed: 0,power_chiller,Energy_2,flow_chiller,Energy_1,t_out,t_chiller,Energy_3,Equip,light,temperature:drybulb,occ,Energy_4,energy_total
0,0.0,0.0,0.0,0.0,25.1,10.43817,0.0,0.41388822,0.039140865,24.003056,0.0,0.0,0.0
1,225069.36,869048.5,168.07915,85299.15,25.2,12.0,91642.05,0.41388822,0.039140865,24.327026,0.0,0.0,1045989.7000000001
2,234831.11,873425.9,168.07915,85711.35,25.3,12.0,92132.53,0.41388822,0.039140865,23.72469,0.0,65239.94,1116509.72
3,238526.33,902687.2,168.07915,89843.055,25.4,12.0,95827.89,0.41388822,0.039140865,23.171762,0.0,64583.496,1152941.6409999998
4,242443.48,922298.5,168.07915,90674.81,25.5,12.0,97742.42,0.41388822,0.039140865,22.975664,0.0,64651.93,1175367.66
5,245104.66,938865.44,168.07915,91918.43,25.6,12.0,99716.11,0.41388822,0.039140865,22.984179,0.0,64806.79,1195306.77
6,248533.1,962963.7,168.07915,94349.35,25.566668,12.0,102695.836,0.41388822,0.039140865,23.020226,0.0,64945.906,1224954.792
7,39100.258,0.0,168.07915,0.0,25.533333,12.0,0.0,0.41388822,0.039140865,23.007961,0.0,64985.867,64985.867
8,242606.95,986969.56,168.07915,96335.94,25.5,12.0,105930.9,0.41388822,0.039140865,23.688856,0.0,0.0,1189236.4
9,253784.23,1003381.3,168.07915,97891.23,25.466667,12.0,107635.48,0.41388822,0.039140865,24.32818,0.0,106249.03,1315157.04
10,257811.8,1038510.94,168.07915,102165.57,25.433332,12.0,109382.38,0.41388822,0.039140865,23.670797,0.0,66658.15,1316717.04
11,256703.03,1028422.75,168.07915,100153.12,25.4,12.0,111465.734,0.41388822,0.039140865,23.448635,0.0,65884.305,1305925.909
12,258001.39,1024617.4,168.07915,100149.71,25.366667,12.0,109624.914,0.41388822,0.039140865,23.247414,0.0,65569.57,1299961.5940000003
13,259102.64,1033060.4,168.07915,100904.805,25.333334,12.0,110869.89,0.41388822,0.039140865,23.080122,0.0,65513.2,1310348.295
14,39094.605,0.0,168.07915,0.0,25.3,12.0,0.0,0.41388822,0.039140865,23.049591,0.0,65024.605,65024.605
15,248312.06,1027374.44,168.07915,100259.75,25.266666,12.0,110499.72,0.41388822,0.039140865,23.7106,0.0,0.0,1238133.91
16,257862.86,1031965.56,168.07915,100697.97,25.233334,12.0,110706.58,0.41388822,0.039140865,24.330917,0.0,106906.91,1350277.02
17,262318.9,1073602.8,168.07915,105292.32,25.2,12.0,112257.05,0.41388822,0.039140865,23.66956,0.0,66631.41,1357783.58
18,259643.11,1049673.2,168.07915,102292.13,25.166666,12.0,113387.95,0.41388822,0.039140865,23.440933,0.0,65692.11,1331045.3900000001
19,260342.12,1043613.94,168.07915,101913.625,25.133333,12.0,111196.9,0.41388822,0.039140865,23.233358,0.0,65240.695,1321965.16
20,260750.78,1047817.5,168.07915,102288.13,25.1,12.0,112121.99,0.41388822,0.039140865,23.062424,0.0,65050.766,1327278.386
21,38741.91,0.0,168.07915,0.0,25.066668,12.0,0.0,0.41388822,0.039140865,23.031792,0.0,64394.45,64394.45
22,248347.28,1033098.3,168.07915,100755.05,25.033333,12.0,110858.516,0.41388822,0.039140865,23.691895,0.0,0.0,1244711.8660000002
23,256838.12,1032432.25,168.07915,100744.92,25.0,12.0,110490.05,0.41388822,0.039140865,24.317253,0.0,104544.75,1348211.97
24,261281.73,1073694.9,168.07915,105039.31,25.033333,12.0,111178.83,0.41388822,0.039140865,23.651978,0.0,65848.01,1355761.05
25,258852.8,1050768.5,168.07915,102452.13,25.066668,12.0,111894.52,0.41388822,0.039140865,23.4235,0.0,65086.3,1330201.45
